好的，請看這份音檔的繁體中文逐字稿：

[0:0] 歡迎收聽股癌，我是夢公。
[4:50] 那亦或者說在回檔的時候，那可能就會開始去想要去摳家人之類的，啊這個不要去了，啊那個我們之後再說什麼的。
[4:56] 但其實你知道你的震盪早就已經可以完全的Cover這些東西了，所以你應該就是一人做事一人當啦。
[5:2] 你你知道說反正我們身為父親，絕大多數我們身邊炒股仔也是爸爸為主啦，當然也有一些這個地方人妻啊，也是非常厲害。
[5:9] 那只是我們這些那種地方爸爸政線就會知道說那壓力就是我們自己擔在身上。
[5:14] 那當今天可能不好受的時候，像我就是會找兒子來跟他開個玩笑，說這邊都是綠綠的時候，你要給爸爸一點空間，爸爸需要思考。
[5:21] 那他現在早上就會問我說，爸爸今天是紅色還是綠色，就蠻有趣的，但也不希望給他太多這樣子一個認知，讓他覺得好像是今天假設盤面不好就不要去惹他爸。
[5:30] 沒有，就是讓他知道說他爸爸到底在做什麼東西。
[5:33] 那同時呢，讓他稍微的了解一下，一切都是得來不易，可是同時我們不希望讓他感受到壓力，好像說就像我剛剛前面講到的，你一個人在那邊搞股票，然後搞到全家跟著你一起氣氛變得得很差。
[5:45] 那或者說什麼你要跑到網路上去發洩，像最近蠻多就是會去抓一些地方老闆來罵嘛。
[5:51] 這個我覺得也超怪的，因為老實講，這一波回檔，你看看韓股，你看看美股，其實科技股很多都跌很深啊。
[5:56] 三四成以上，那個叫基本，就是一大堆都跌這樣，所以你專門去抓幾個老闆來罵，甚至有些人發出那種生命威脅，你就要注意你一時的嘴秋，你可能就會導致你後面有一些官司要吃啦。
[6:7] 那在嚴格上來說，或者說退一萬步來說，你知道這些東西它Year to Date都非常多。
[6:13] 所以你怎麼講，就是它絕大多數股東其實是賺錢的，那你為什麼會搞到賠錢，甚至斷頭被掃出場？
[6:19] 這個其實是要反省一下自己的一些操作是不是有問題，那其實我們在過往也是一直去做這樣的反省，然後後來才調整出自己適合的一些方法。
[6:27] 那像我跟大家分享說，其實老實講，我以前就超喜歡開那種超大的槓桿。
[6:31] 那只是後來就發現說每次在回檔或什麼樣，幹你搞到整個人蓬頭垢面壓力超大，這個可能不是你要的一個生活，所以就慢慢的去做一些調整。
[6:40] 那當然我過去跟大家講這個，我說以前我是亡命之徒嘛，然後還發現說靠北，媽槓桿2.5倍根本不叫亡命之徒，叫小資保險組，因為他新一代的股民，2.5倍叫做入門班。
[6:50] 沒有人只開2.5倍，大家都開超大，那可能像這一波的回檔，一定就是蠻多就遭受到了巨大的打擊。
[6:57] 你自己去看那種股期，盤前的變化，莫名其妙自己撞去跌停的，你知道就有人要跳樓，要斷頭了。
[7:2] 那再來就是有一些那種追繳令發出去或什麼的，所以我只能夠說這個都是一種經驗啦，就是你有發生過的人，你下次就會知道，啊我我不能這樣子。
[7:10] 可是如果說你沒有發生過，那人家跟你講一萬次，你也聽不懂，就是說在我們節目，每次最樂觀的時候，你大家去回撤一下，從2020年到現在都是。
[7:18] 每次只要在多頭的高峰的時候，全部人都在問我正二啊，全部人都在問我說怎麼樣槓桿，怎麼借跟人錢。
[7:25] 然後再來就是像這波也很準啊，前面一個兄弟問我說，全職投資，問完直接報雜，所以你看我們全職投資的指標還是很準。
[7:30] 每次真的是那種就是大多頭，然後開始有人在問全職投資的時候，你就知道就是差不多了。
[7:37] 可是我們也沒有料到會突然間這麼快啦，所以其實這波算是殺的非常的快，而且也很有趣的現象，就像上集跟大家聊到，其實大盤是沒有什麼動，大盤跌不多。
[7:46] 可是很多中小都跌爛掉，你看台灣的櫃買，或者說美國的一些那種小科技，其實蠻多都摔得很重很重。
[7:52] 所以就是一個Cautionary Tale，那我覺得其實不需要太擔心，因為嚴格上來說這個我覺得它只是一個預言啦。
[8:0] 因為後面還有更大的，就是大家真的要摸住自己的卵蛋跟自己的心臟，好好跟自己對話一下，後面那個更大的你扛不扛的住。
[8:6] 我們講的並不是說什麼在接下來立刻要發生一些更大的，我們是講說，因為按照我們的經驗啦，循環就是長這樣，小循環掉小坑，大循環摔大坑。
[8:16] 那這波循環是大家知道是超出大家想像，AI幹太猛了，拉超級高，你看台指加4萬多點耶。
[8:24] 下一個回檔一定是很慘，這個一定是悲慘的，所以大家要做好這個心理準備啦。
[8:29] 就如果說像這樣的一些小壓力測試就有辦法讓整個人爆掉，然後開始變成是一個怪人的話，那那就要注意說如果真的來的時候，是沒有辦法去扛住。
[8:41] 希望大家都是有辦法，希望大家都是抱持著比較健康的心態，回歸到最原本啊，就是呢可能就閒錢投資啊，那不要開太大的槓桿。
[8:50] 助重家庭跟生活，有事沒事打個《紅眼盧比》，玩個《暗華夜戰》，然後玩一下小楠資本有參與的遊戲，當然小楠資本沒有參與的遊戲大家還是要玩啦。
[8:57] 只是就希望大家多多支持，然後去找回生活的重心，這個非常重要，這真的非常重要。
[9:3] 好，那接下來我們來進入下一話題，那最近的兩天市場就開出了人道走廊。
[9:7] 這個我們把它稱為人道走廊的主因是因為它其實在一些主要的均線下面。
[9:12] 當然像台股其實有漲破季線，這個算蠻關鍵的，但是目前還是會把它視為是一個比較警戒的階段。
[9:18] 為什麼？因為當你反彈上來的時候，你就會碰到很多的均線，你就可以想像成說，就前面有一些那種套牢的賣壓，就會在這個時候把它丟出來。
[9:26] 所以最好的狀態是什麼？就是要彈起來之後，洗一洗之後再繼續進攻。
[9:30] 那如果說你注意到自己手上的東西，彈起來之後，它沒有辦法繼續進攻，或者它彈起來彈不太起來，然後接著又再繼續往下掉的話，那有可能它就在下一波的族群裡面就會落隊了。
[9:42] 那只是像現在這個盤面，我覺得它很困難的一個點是，基本上市場上的一些主流股，過往很強大的主流族群，除了像載板今天是集體蠻多都漲停，那個算非常強勢之外。
[9:53] 那很多的股票你都注意到說它形態已經有點像是說就跌壞掉了，那即便是那種大家耳熟能詳的大名字，就像台灣的一些那種Power Arc超級大廠。
[10:3] 那個反彈的力量也都沒有到很大，所以我就是覺得說這些東西是有機會會進入一個休息的階段。
[10:8] 那要記得他們其實並不是說什麼基本面不好什麼，因為其實以現在的角度是，我認為啦，這接下來一段時間是大家會看到很多業績會開出來的時間點。
[10:16] 就連像可能過去跌的比較深的被動元件，最近很多自己開出來都是非常漂亮的年增嘛。
[10:21] 那只是當然可能它撐不住就是在過去漲數倍這樣子的一個壓力，因為你漲多，那大家就會開始去檢查你的基本面嘛。
[10:28] 那可能就會校正回去基本面該有的一個軌道之類的。
[10:32] 好，但整體來說就是我們應該是可以合理的去預期，在後面蠻多公司的成績都其實會接連的開出來。
[10:39] 特別是Rubin開始要放量出貨，那再來可能像AMD有一些事件要產生，因為他們要正式的去發表Venice，也就是它的SP7平台的CPU。
[10:51] 那在年底呢會有Optream，也就是Intel的下一代的不管是Diamond Rapids，然後或者是Clear Water Forest，它的CPU也都要去丟出來。
[11:0] 所以其實有蠻多東西會接連的放量，不管是從Nvidia這邊的大家比較手持的GPU陣營，或者到AMD它是GPU跟CPU大家都非常關注。
[11:10] 大概是一個2比3左右的一個出貨量，他們所在的那個產值啊，可以這樣子抓。
[11:15] 那再來呢，可能一些AC，都是有機會在接下來要放量，包含我們知道說Tranium系列也是。
[11:21] 所以其實這些公司有接觸到他們的Supply Chain或什麼的，你都會知道它接下來的營收就是會好，它就是會好。
[11:28] 只是我們沒有辦法確認會不會漲，因為其實蠻多形態是跌到不好看。
[11:32] 那我們是會去參考一些形態的人啦，就是像我自己的做法會有點像是Hybrid，我會有一些價頭的東西，但價頭的東西不會是我的主軸。
[11:39] 因為就算我今天有去價投去蹲一些東西，但是我也會等到它可能今天有突破它形態變好之後才去做更多的加碼。
[11:46] 那包含說可能像一個東西，如果我今天覺得它是不是要開始出事前的時候我也是這樣看嘛，看月線撐不撐得住，季線撐不撐得住。
[11:52] 撐不住那可能也是把東西給汰掉，所以即便我知道你業績很好，可能在後面我一樣會用不一樣的態度去面對你，就知道你可能稍微的整理一下之後。
[12:1] 那現在這個盤面，我認為蠻多人的心態可能跟我差不多，特別是今天跟一些朋友，我們在差不多快收盤前的時候有一些交流，然後發現說怎麼大家選的東西都差不多。
[12:9] 因為大概市場上識別到強勢族群都差不多嘛。
[12:13] 那像最近的話就是這些老AI重新的轉強，那我覺得老AI轉強它有一個蠻明顯的邏輯啦，就是這些老AI其實在過去他們算是休息了蠻長的一段時間。
[12:22] 那如果是DN這邊你注意到蠻多的For P大概是落在十倍左右，它就是一個十倍股啦。
[12:28] 就是便宜，但是你不確定它上漲的肉有多少，那大家就還是會喜歡，因為大家現在都想去找一些像我們跟大家提到的，有業績有防守的東西。
[12:35] 就大家心態，就那聰明錢基本上都是差不多的想法，因為開始知道說這些高P的東西被殺超兇嘛。
[12:41] 那我當然就閃去可能比較安全的地方，但是我們可能也不完全會想要空手，像我自己是不會去做空手，那我們自己身邊蠻多朋友都是空手。
[12:49] 所以其實我也不太確定說，如果這一波它真的就不小心這樣一路反彈衝出去的話，那這些人要怎麼樣追回來。
[12:54] 那可能就像類似說前面有幾波是這樣，像今年的四月我覺得就算死，就其實當盤可能跌到那個季線的地方的時候，你就注意到身邊超多人就不玩的。
[13:3] 那可是後來就直接開出去，那開出去可能開出去三天五天，他們都還是忍得住，最後面就一樣就忍不住啊，就會衝進來追。
[13:10] 所以還是有可能，因為現在真的有蠻多資金我知道他們不玩的。
[13:13] 還是有可能，就假設大盤就持續的轉強的話，然後後面還是一堆人在後面要追，然後又再一次有動能盤的產生。
[13:20] 但是直到我們真的可以去識別這樣的一個機會產生之前，我自己啦，還是會把它當成是一個區間盤去做操作。
[13:27] 那後來就發現說其實有蠻多的大支都有在做類似的事情，反正就是下跌的時候，先把錢閃進去指數嘛，閃進去台積電嘛。
[13:34] 然後等到大盤回穩之後，就開始從指數跟台積電拿錢出來，然後看去買東西。
[13:38] 那只是像今天我自己覺得比較小心一點，你說昨天要來搶快，還可以理解，因為可能是第一根，可是到了今天你知道說彈起來它會摸到一些大均線。
[13:47] 我就想說如果今天是不住，然後把錢全部摳出來去追的，就是有機會在後面又會吃到一些些的回檔，假設盤沒死的話，就是一些回檔。
[13:55] 那假設說盤真的就掛掉的話，那可能就是一個蠻大的回檔。
[13:58] 但目前我看我就覺得還算是不是有到很悲觀的一個情形，就算大盤的形態不好，但現在確實是有蠻多東西都直接跌到便宜的價格。
[14:6] 就這個價格可能是你在五六月是找不到的，就是蠻多東西是已經收斂回去，可能在我們的角度是，你拿來做長頭或甚至你領股勵都不會輸的一個價位。
[14:16] 那這是關鍵是，當然這些東西便宜，但便宜不代表有資金要去拉它，除非說你的心態就是來存股領股席之類的，來長投的。
[14:24] 那不然如果你的目的是希望有人要拉它的話，那你還是要注重一下形態，就是後面有沒有什麼一些事件可以把它推上去。
[14:31] 那它形態不能夠太差，它如果覺得它已經掉到季線下面超級遠的，那個就是屬於形態比較不好的。
[14:37] 就算它有一些基本面，很多時候像這樣的標的，我們後面就會發現說它會盤整整個幾個月之類的，它就沒有這麼快啦。
[14:43] 那反正現在有點像是說就是大家各自帶開表現，那如果說你這個族群是有辦法拉出去，然後上面的共識也夠高的話，就可能會吸引到就是那些還是喜歡去做追高的人就往這個方向去。
[14:54] 然後一些可能比較中型大型的資金，我們自己有注意到說往那種業績股去跑的，其實他們的線型也就是慢慢的在改善。
[14:59] 但是我自己會猜測這些業績股可能在噴的時候就不會這麼兇，因為上面的資金就是不想要追高的才過來嘛。
[15:6] 那他們都不想要追高，所以就會變成那到底誰要去把這個價格推到更高？
[15:10] 可能就是慢慢的去等每一次的營收，每一次的財報，每一次的事件把它推上去，會變成往這樣的一個發展。
[15:16] 所以後面呢，就除非這個大盤從這邊開始就沿路噴，然後去拉新高，那可能就再次回到動能盤。
[15:22] 但如果說沒有的話，那可能就會開始變成是比較累區間盤，然後再來就是中小，因為櫃買指數真的是跌的，在我的角度是屬於比較不好看的啦。
[15:31] 所以有機會，至少像身邊朋友最近在討論，就是大家都是想要去把錢從中小，然後可能移到一些比較大型的股票區。
[15:38] 所以才會導致說很多人去往一些老AI，先跑到那邊去嘛。
[15:42] 那知道這個地方可以防守，然後接著再去做調整，就跟類似說今天注意到盤掉下來，蠻多人就會閃進去台積電跟閃進去台指一樣。
[15:48] 反而就去找一些這種相對便宜的東西，你知道說，就算一樣要下去好了，我這個東西可能下去是一成五到兩成，那你那個高P的下去是三成到五成之類的。
[15:56] 那我當然先躲在這個地方，然後再看換去哪裡，所以市場的一些態度，我個人認為一下它是會長這樣的一個情形。
[16:2] 那再今天晚上，或者說明天跟後天其實有蠻多事件會展開啦，那首先大家都非常期待Google的財報會怎麼樣開。
[16:10] 那財報這邊呢，我們是沒有咪到什麼數字，或者說什麼特別的東西啦。
[16:14] 就是在過去可能會有時候會有一些東西，我們大概知道是市場的一個猜測，但這一次我覺得大家對於Google的財報預期，其實並沒有到很高。
[16:21] 只要它不是開負面的消息，那應該就是用一個Neutral的態度去看它。
[16:25] 那但是它昨天有一個新聞跑出來，就是它有一個什麼Frozen V2的晶片嘛。
[16:30] 那這個Frozen呢是我們都沒有看過的晶片，所以其實第一時間大家就去調查說它什麼東西。
[16:35] 有些人說它可能是Meropenem，也就是TPUV10有博通設計的，可能對外的名字叫Frozen，那可是有些人說它應該是Marvell的那顆晶片。
[16:42] 那我們就跟大家分享說，Marvell有一顆叫做TIA的晶片，其實後來有健報，Information還是誰有把它寫出來，我們就直接公布了。
[16:49] 那這顆晶片的中文名就是TPU Inference Accelerator，它就是一個你可以把它算成是TPU Family裡面的某一種可能在推論的加速晶片。
[16:58] 那它目前應該是沒有被編代啦，就是它沒有像可能像Hooma跟Is是V8V10嘛。
[17:4] 然後可能你去類推博通的話就是Wellfish，Triggerfish，然後跟後面的Meropenem。
[17:9] 那這個可能是比較屬於那種正歸軍啦，反正就是一個是訓練，一個是推論。
[17:13] 那這個Frozen，或者我們把它稱謂是TIA，我們現在認為是同一顆啦，當然如果有錯的話，歡迎大家來糾正我。
[17:19] 那這顆應該就是由Marvell去做設計的那一顆，就是專門去For Inference加速使用，可能是內部的某一些AI應用去做的晶片。
[17:28] 那我們知道說Google其實也有開一些有趣的晶片，只是這些有趣的晶片，包含說像昨天這個新聞出來蠻多人都說可以去關注Google。
[17:35] 我自己的想法是，應該不是關注Google，因為這個對Google來講就是一個可能自用的晶片。
[17:40] 就算它後面要拿出來賣，那那個營收佔比是小到可以忽略啦。
[17:43] 所以它比較不會是一個需要去關注Google的題材，而是你要去關注說誰做這顆晶片。
[17:49] 可是這個晶片就是像我們自己的節目已經在很久以前就已經跟大家猜完這些東西，所以你要知道就市場一堆人都知道。
[17:55] 所以一堆人都知道的東西，有沒有辦法去造成一些催化，我會去抱持一個問號啦。
[18:1] 但還是得講，就是確實是有蠻多東西，一開始它是一個偏向是消息面先拼先，然後後來就是用實質的營收去做最後的決戰。
[18:10] 就是最後面處生段可能還是有實質的營收去帶出來的，所以有機會，就是可能雖然這個東西對我們來講是一個老梗，但假設後面開始對一些公司，或者說相關的Components有貢獻的話。
[18:21] 那說不定就會再一次的變成市場的某一種題材啦，所以以Google這邊來講的話，因為它在模型方面，又稍微的軟掉一點，那一樣大家又開始去罵說Google沒有東西。
[18:31] 還是得稍微提醒一下大家，反正說可能在AI時代蠻多人的這個智力，或者說不要講智力不好聽啦，就是記憶。
[18:37] 雖然這樣好像也不好聽，對，就是變得很短，然後就喜歡到處去笑人家，前面笑Nvidia，然後笑Open AI，然後笑Google。
[18:44] 後面又要變成再去笑別人之類的，因為大家都是輪流的不停的端出很屌的東西，然後去擊敗大家的預期。
[18:51] 所以我覺得它可能就是在一個深蹲的階段啦，那還是蠻相信說它整個目前Ecosystem做起來是非常非常有機會的。
[18:58] 所以就等看Google開出什麼樣的成績，我們再跟大家聊。
[19:1] 那再來另外一個事件呢，就是AMD有一個Advancing AI 2026，它會在今天跟明天，舊金山的某一個地點去舉行啦。
[19:9] 那重點會是放在第二天，也就是Lisa Su的一個Keynote，那大概是台北時間的凌晨12點半左右。
[19:17] 我們就來看說它會不會再去針對AI的一些指引，那先講一下，就是可能市場有公布或者說大家有預期，大家知道的一個東西，我們可以expect有什麼樣的事情發生。
[19:26] 那首先呢是他們有先公告了，有Microsoft這邊有大單，Anthropic會去部署大量的Helios機櫃去跑他們的模型推論。
[19:35] 那再來呢，除了Microsoft以外，我們知道過往Meta，Open AI，或者Oracle，他們有一個非常華麗的客戶名單。
[19:41] 這個就是說，現在多一個Microsoft進去畫龍點睛啦，那後面還有一個比較大的驚喜。
[19:47] 那其實在法人圈或者投資圈裡面已經不是驚喜了，可是我覺得應該有蠻多消費者不一定知道這件事情，就是Anthropic這邊有機會，也會在這次的會議上面去公布說跟AMD有什麼樣的一個合作，然後會去使用AMD的伺服器。
[20:1] 那我們知道說AMD的伺服器在近期其實它的狀況是表現的蠻好的，就是不只是它可能在GPU跟CPU這一段，就是可能在一些整合應用上面，大家也開始發現。
[20:13] 有一個說法是這樣說啦，雖然可能講很久了啦，Nvidia的CUDA的護城河呢，其實慢慢的有在被降低中啦。
[20:19] 因為大家在上面去可能用AMD的比較高CP值的硬體呢，去開發一些軟體的應用，可能沒有像CUDA這麼順，可是至少是看用的啦。
[20:28] 所以呢，也不是像過往大家講便宜沒好貨，因為AMD的東西就是相對便宜嘛，然後可以買到比較高的Spec。
[20:33] 現在它可能說，因為自己有上去開發一些軟體，所以慢慢的有去倒正這件事情。
[20:38] 那市場的一個說法是說，等到它走到550這個階段之後呢，它會在硬體跟軟體的整合方面會跑贏Nvidia。
[20:45] 就看大家相不相信這樣的論述，雖然我是覺得皮衣刀客他不是吃素的，他不會躺在那邊給你幹啦。
[20:50] 那現在市場的一個論述說，因為跑到550那一代之後呢，它可能一個板子上面可以打比Nvidia還多顆的晶片。
[20:56] 那Nvidia相較之下可能就只有在記憶體這邊有去做提升，所以呢，搞不好硬體就有一個超車的機會。
[21:1] 可是老黃可能突然間又再搞出某一種任體，或者某一些特殊的軟體應用，又又把它Performance又再整個推上去，都是有機會的。
[21:9] 但至少就是說AMD這邊你可以去期待，它的GPU在後面是會有表現的，然後有一些大型的客戶除了這些CSP之外，那像模型廠Anthropic，這個市場已經傳很久了。
[21:18] 就是有機會也會被端出來，說他們有去做合作。
[21:22] 那再來呢，它的Keynote上面，我們覺得應該是會去正式發表Venice，這應該也不是算是非常意外的事情。
[21:28] 那Venice是什麼？就是它的SP7的一個CPU。
[21:32] 那這個CPU呢，已經可以保證基本上就是在後面算是一個會公不應求的東西。
[21:36] 首先我們知道說AMD它在這個CPU的市佔率呢是越來越好，它基本上是有一點像是說騎在Intel上面持續的去做攻擊。
[21:46] 那Intel當然它也是有端出新東西啊，只是呢，它的Optream，就是它的下一代，不管是Clearwater Forest，然後或者是Diamond Rapids，那應該是要等到今年的年底或者是明年的年初才會出來。
[21:55] 所以AMD又可以搶先持點，然後看有沒有機會去攻佔下來更多的一個視戰。
[22:1] 那在這樣的一個時空背景之下，其實我們是認為說非常的有機會，只要它可以想辦法把CPU順利的出貨就好。
[22:9] 那CPU現在有一些瓶頸啦，除了在精源代工端這邊可能要去Secure更多的產能，which is very difficult，非常的困難，因為大家都在搶這個產能。
[22:18] 然後再來就是你要去拿到足量的記憶體，可能也是一個不容易的事情。
[22:23] 你要把它整個東西拼出來是不容易的事情啦。
[22:26] 那其實我們今天如果挑到一個比較大的架構來看的話，目前市場裡面很大的一個瓶頸其實是CPU。
[22:32] 就是如果說CPU沒有辦法順利的供應的話，which is我們現在已經在很多的供應鏈上，已經有看到很多老闆在抱怨，甚至他們自己再做CPU相關Components的。
[22:41] 他就告訴你說CPU很好，但是呢，因為可能出貨這邊會卡住，所以我們的營收認列進來，可能不會是那種一次性超大量的進來，會慢慢的，因為整個鏈擠壓是卡住的一個狀態。
[22:52] 那我們知道說CPU因為在Generative AI的應用上面，它扮演一個非常重大的角色。
[22:57] 從本來可能CPU是一個對可能不知道超多個七八個GPU AICC，然後到現在1比4，一對二，甚至後面大家開始在講說有可能有一對一的狀況產生。
[23:6] 當時我們是講說這個可能講太早，但現在來看，時間隨著這樣慢慢的推進呢，也是有機會看到這樣的一些情形出現。
[23:15] 甚至是有些像Nvidia過往它的CPU是直接打在板子上面嘛，就是包著出的。
[23:20] 說不定它後面會出一個Stand alone的板本，為什麼？因為CPU的用量就真的變很大。
[23:24] 大家注意到在Generative Workflow裡面其實會用到很多的CPU。
[23:28] 那所以我也會覺得說Venice它提早去誕生，它會為AMD帶來蠻大的一個優勢。
[23:34] 那特別是他們在上次好像是投資人會大會吧，就是已經有把CPU的TAM整個蓋了一倍上去。
[23:39] 就是它給一個非常高的數字，所以在Keynote上面，你可以去期待它怎麼樣去吹這個Venice。
[23:44] 雖然它的Spec大家都已經是相當程度的知道，也已經拿去跟Intel的Optream的Clearwater Forest去做一個對標。
[23:51] 但還是可以來看一下說，可能在上面會去做更多的論述，包含說哪些客戶會採用，或者說有一些什麼Use Case之類的。
[23:57] 所以呢，CPU相關的一些公司，也是在這一波我會想要去關注的一個對象。
[24:2] 那除了CPU的本體，就好說像是Intel或者是AMD，那或者我們過往去可能在美股注意的那些CPU的公司之外。
[24:9] 然後再來就它相關的Components，我覺得也是有機會在缺貨的一個狀況之下，可能大家都會產生更好的一個議價權啦。
[24:16] 就整條鏈有可能會稍微的去說去做一個價值的提升。
[24:20] 那首先一個比較明顯的價值提升是我們知道說，當每一次的這個CPU換代呢，上面的一些那種標準品可能像是一些什麼被動元件，用量增加什麼，這個我們就不用講了，記憶體不知道大。
[24:30] 這個就不用講了，那如果今天我們是討論到像CPU它負載的這個Socket，因為它的那個對率大概是1比1啦。
[24:37] 除了像可能Nvidia在它的這個AI伺服器裡面，不一定會用到一些Socket，那當然Socket這邊還是有用到。
[24:43] 不過呢，就是我們知道說，隨著這個CPU的換代，因為像這個Socket它裡面的那個針腳數就會變多。
[24:49] 那針腳數變多的意思就代表說它的ASP會提高，因為它不像剛才前面講到那些元件是，反而就是今天一個大朝來它就跟它漲價，那大朝結束它就會崩掉。
[24:58] 像這樣子的可能一對一或者會綁定出的某一些零組件呢，它會比較偏向是，它在每一次的換代，隨著像剛剛提到，針腳變多或者說技術難度變高，它會有一次的ASP的提升機會。
[25:10] 好，所以等到這個ASP拉上去之後呢，那有可能會去改善公司的一些體質。
[25:14] 所以整個CPU相關的Supply Chain，我會認為啦，就是在AMD的Keynote之後，有可能會再一次的被關注。
[25:21] 第一波CPU可能是在今年年初的時候，那時候有炒一波，大家知道Intel跟AMD噴到爛掉嘛。
