[00:00] 歡迎收聽古愛,我是陳夢公,本集節目由喬志永國際有限公司贊助。
[02:14] 當然我知道,媽射火箭你要是天才啊,然後再來就是就算你想要你的身份不一定允許啊,他們可能要要非常要求說你是美國人之類的。
[02:22] 但是我想法就是說,如果兒子那時候他敢跟我講說,他想要射火箭,即便他只是童言童語。
[02:26] 我就會開始去規劃說怎麼樣可以移民到美國之類。
[02:29] 但好在那時候他是不是有去做這樣的一個選擇。
[02:32] 那所以呢,我就回到台灣去過一個相對舒服跟簡單的生活。
[02:35] 我想說如果你要去移民的話,一定是非常辛苦的。
[02:37] 那總之呢,就是我對SpaceX或是像是Tesla都非常喜歡,因為我本身算是馬斯克的一個粉絲,也算是馬迷啦。
[02:45] 那所以呢,像他的一些周邊的產品或是Tesla的汽車,再來如果他後面去出手機的話,全部都會買,然後一些那種有趣的小玩具。
[02:54] 像是那Boring Company曾經有出過一個噴火槍,一開始是朋友就有玩,玩一玩之後我自己喜歡,我自己也買了一把。
[03:00] 那就就覺得去收藏這些東西蠻有趣的,然後這次也有朋友幫我帶了一個超級酷的周邊回來,是那個Maxilla,就是最早的Starship的一個發射平台。
[03:11] 那大家如果看過影片就知道說Starship在落地回來的時候呢,會有一個像是筷子的機械手臂會伸出去,然後把這個火箭給接起來。
[03:18] 那後來大家就戲稱這個機械手臂為筷子,因為真的像筷子在夾東西。
[03:22] 那我覺得馬斯克真的是一個很北懶的人,他的周邊很多時候都會玩一些那種諧音梗或是一些聯想梗,那就會讓你覺得很好笑。
[03:29] 就是這個人跟我的頻率在蠻對的,雖然他可能是貴為首富啦。
[03:33] 我想說他跟我蠻像,他是首富啦,你講說首富跟自己像好像是很奇怪,但那個思維的方式是有有一點類似。
[03:40] 那他就把這個機械手臂呢就做成筷子,就是第一代的機械手臂,他就把它融掉,然後生產了大概4500副筷子。
[03:47] 那是讓自己的內部員工可以去做採購。
[03:50] 那就非常感謝在SpaceX的朋友呢,就幫我搞了一副。
[03:54] 我也不知道怎麼弄到,好像是只有一人一副,但是他又再幫我額外再搞到一副,所以非常的感動啦。
[03:59] 那跟這些朋友們在聊天的時候呢,也了解到SpaceX真的是一個文化非常酷的公司。
[04:05] 其實我覺得我們以局外人的角度去看馬斯克公司,不然像之前跟大家分享說Tesla,因為以前我們追踪是非常平凡的時候會提到說,其實Tesla裡面很多的決策基本上是馬斯克一人決定的。
[04:16] 就算是前面感覺是一個繼承的決定,也可能因為他一時的某一個idea,然後就去扭轉它。
[04:23] 舉來說,之前有跟大家聊到它的AI5跟AI6的FSD chip嘛,那它的一個板子上面就是打了兩顆的AI5晶片或是兩顆的AI6晶片。
[04:31] 但後來呢,因為馬斯克就覺得說它要costdown,所以它就把它變成是一顆是AI5晶片,一顆是AI4.1的晶片,那也在供應鏈造成一些影響。
[04:39] 那其實過往去追這些供應鏈的東西,你就會注意到說,馬斯克他真的是每個東西都看得很細,而且他非常的成本導向的人。
[04:46] 那一般成本導向的人給人家的印象是什麼?就是說,他可能為了成本就會搞一個他媽超垃圾的東西。
[04:51] 他就是為了costdown,為了省錢嘛,跟那個政府採購一樣,反正就是找那個最便宜的,然後可能有的時候就會出一些問題。
[04:57] 但但是呢,他因為自己本身夠懂,所以他去做costdown的時候呢,這個後面弄出來的東西也蠻屌的。
[05:02] 所以他雖然有時候會在供應鏈裡面造成一些問題,就是以我們這些去追踪供應鏈人來說會覺得,嗯,蠻頭大的,可是同時你不得不佩服他,真的是一個非常強大的人。
[05:12] 然後在SpaceX的一個公司文化裡面,也是聽朋友分享才知道,他們真的是把兵貴神速用到一個極限。
[05:19] 在這個公司裡面速度就是一切。
[05:21] 所以呢,對他們來講成本根本不是什麼大不了的事情,我舉來說,如果今天工程師開出了某一個spec,他要去做研發,那他們會希望說你不要去走那種NPI,然後慢慢做實驗的方式。
[05:32] 我希望你一開始就直接開那種mass production,就是你東西就一直叫多一點,但即便整個batch丟掉,沒關係。
[05:37] 我要你快,我要你立刻就可以讓事情發生。
[05:41] 所以像是可能,就說有某一個產品,然後這個產品你在兩條供應鏈上都可以找到,一個告訴你說他兩個月可以做出來,一個說六個月。
[05:49] 那兩個月可以做出來的價格可能是六個月的,隨便舉例十倍好了,他們也會選那個十倍的。
[05:54] 反正就是越快越好,所有東西都是要立刻上線。
[05:58] 那還聽到一個有趣的小故事,我們知道說SpaceX裡面有一個高級的主管叫Gwen。
[06:03] 那這個Gwen呢,他本身就是有在管採購跟公司內部財務的一些東西。
[06:07] 然後有一次有一個那個junior的工程師呢,反正就是說他注意到他想開出來的一些需求,然後卡在了Gwen這邊。
[06:14] 那他可能也是夠白目,他不知道那個Gwen就是他們公司的那種元老級的大頭。
[06:19] 他是直接去吹他說,請你快一點。
[06:21] 結果沒想到Gwen回他就是說,好,我立刻讓你這個東西可以去做執行。
[06:26] 所以呢,雖然可能公司有一些結構,有些制度,但是呢運作起來還是非常那種平民化的。
[06:31] 聽說當時那個工程師就被他的那個制度主管電下說,你知道你寫信的那個對象是誰嗎?
[06:35] 結果我沒有想到人家是用這樣的方式回他。
[06:38] 所以整個公司的文化是非常積極進取,那同時甚至是有點激進的,非常的敢衝。
[06:45] 那同時裡面有一些很酷的小故事,像朋友跟我分享說,他們裡面是有shuttle plane,就是讓他的員工可以在德州的發射基地跟加州之間去做來往。
[06:54] 那這個飛機呢,就是他們自己的飛機,所以裡面的這些所謂的空服員呢,也是他們的同事,穿的是SpaceX的衣服。
[07:03] 然後再來在他們那個發射地呢,它是一個像是U型海灣的一個構造,所以呢,如果你從U的一端到另外一端,你開車你要繞一個U自行就非常遠。
[07:11] 所以他們就是搞了一個那種氣墊船,然後就找了一個退休的軍官,就是負責去開這個氣墊船在員工兩地之間往返等等。
[07:21] 反正有一些那種有趣的意識,然後跟當你知道他們公司的運作方式,其實就算是從公開資訊你都可以看得到,是一個衝得非常快,速度跟彈性都極好的公司。
[07:33] 那就是跟可能在裡面工作的一些朋友聊完之後就會覺得,嗯,應該要再買更多。
[07:39] 那這次呢,收到這個筷子,我也是覺得,啊,來的正好,因為它除了筷子之外,還給你一個小碗。
[07:46] 一樣是用這個火箭的接收器所做出來的,我就會想說,在這樣的一個時間點,拿著筷子跟碗,去路邊乞討的時候,我就去掃買一個道具就可以立刻去做執行。
[07:57] 可能會選,如果我這苗栗,我會選到國華地下道,那林口的話,我不知道要要到哪邊乞討,但反正最近就是這個盤面的狀況是非常的幫屁啦,但還是有很多有趣跟好玩的發現在生活中持續的展開。
[08:10] 那以前對我來講,像這種盤面很不好的時候,心情就會變得很差。
[08:14] 但我覺得這幾年自己的心態有慢慢去改,當然槓桿的比例也是降到很低,所以我就會變成,嗯,現在是可以算是笑看一切,還有辦法去說笑啦。
[08:23] 可能要再多跌一陣子就笑不出來,可是目前都還是有辦法。
[08:26] 那總之呢,這個禮拜有一些這種有趣的發現,就是稍微跟大家簡單聊一下。
[08:32] 好,那接下來進入上話題,那我覺得也不用去笑韓國人啊,台灣人感覺應該也是不太會做股票。
[08:37] 那台積電開了他的第二季的成績,EPS是27.25,那毛利率的數字呢,是67.78,其實跟市場的大多數人的預期我覺得差不多。
[08:46] 但我們之前有跟大家稍微透露一下,其實最高是有人喊到70去。
[08:50] 那70這個數字,那時候就講說相對的有點不切實際,所以當時我們就有去跟大家分享,這個跟美光那時候有一Q的財報很像,就是大家提早往上喊。
[09:00] 那後來那個數字在後面的幾個Q就真的有出現。
[09:03] 那只是呢,就是在當時,因為大家可能真的是預期太高了,所以導致他可能開完數字之後呢,這股價就開始出現了一些震盪。
[09:12] 那目前TSM,看起來也是類似的一個情形啊。
[09:14] 我自己是覺得說,那一天下午我看了公司的Q&A跟法說會的公司的簡報分享,我我覺得是非常好。
[09:22] 首先就是他們把Kpex往上調整了,本來是52到56B,家變60到64,這個算調很多啦。
[09:28] 那這個也算是超出蠻多人的預期,因為大家只有去期待說,可能margin的一個trend會不錯,然後再來就是可能就是在這個未來的營收是有機會去做上調。
[09:39] 那只是我比較少聽到,有人講但很少,那有提到說Kpex可能會有一個上修。
[09:44] 所以我覺得這個其實算是一個surprise,它其實應該算是一個好消息,那大家也知道說開完之後,那隔天呢會吃到這些Kpex的公司,也好幾家就往跌停的方衝了嘛。
[09:56] 那所以代表說現在這個市場就是有一點那種不理性的殺盤的一個情形產生了。
[10:02] 那第三季度的毛利率是預計會蓋一個65到67,那營業利潤率是56到58。
[10:07] 那我覺得像這個數字呢,它本身應該會是一個低報高beat的一個狀態了,也就是因為其實目前能見度是高的啦。
[10:14] 我相信說後面開出來的數字應該就會高於差不多六七或是六七的上緣之類的。
[10:20] 那應該是不需要太擔心了,只是可能在市場的解釋呢,因為大家看到盤後的ADR就直接在跌了嘛。
[10:26] 所以我就會說,那個毛利怎麼會是衰退的?
[10:29] 但我覺得拉長來看,這應該都不是什麼大問題,反正就說就是為了這個下跌,就是一定要去找個理由來說明嘛。
[10:36] 然後再來當然營收去做上修,我本來預測是30%,美元營收,然後現在調到40%,整體來看是一個非常好數字啊,但還還是遭受了無情重擊啊。
[10:46] 雖然即便CC在他的法說會上面呢,講了超級多的好消息,包含像有一個我覺得非常重要的,就是有被分析師問到說,有沒有可能之後把風測的東西額外拉出來報?
[10:57] 他是算在一起嘛。
[10:58] 那關於聊到這個風測相關的內容呢,公司有提到說,目前呢,就是在後端的先進封裝這裡是超級的緊俏。
[11:06] 所以如果今天有競爭對手,那當然我們知道這個競爭對手就是Intel嘛,Intel的imep T,那這個imep T呢,如果說有辦法做得好的話,那代表台積電的前端就可以放更大的量吧,對不對?
[11:17] 就如果說我今天是在先進封裝這邊是被卡住的話,那我前端的東西也沒有辦法很順利的去走到後端。
[11:24] 所以如果今天有競爭對手可以把後端的東西做好,那當然對台積電來講也是一個更好的方向。
[11:30] 那多次的強調,他們是希望客戶要贏。
[11:33] 那也提到說非常羨慕韓系,我說美系的這些記憶體廠呢,這個毛利數字可以這麼高。
[11:39] 那公司覺得說他們現在這個毛利數字呢,就已經是相對滿意的,他們沒有要去搶客戶的意思。
[11:45] 我覺得言下之意是這樣子啦。
[11:47] 那所以其實在他的整個內容或是未來的展望,那以及在法說裡面的Q&A呢,我我覺得是沒有辦法看到任何敗相的。
[11:57] 所以比較難以去解釋說這個TSM為什麼隔天會突然間跌6%。
[12:01] 但這種事情呢,身為市場的一些老兵們,大家應該都有感受,過去美股也是一堆這種開完財報直接崩20%的,然後接著後來可能不知道,就等一段時間就噴上去嘛。
[12:10] 或是像那時候的Apple,那也是在出了這個記憶體相關的消息之後呢,先跌。
[12:15] 那時候我們就想說,這個東西應該對他來講不會是一個太大的立空啦,可是市場就是先往一個立空的方向去解釋嘛,然後說Apple現在新高了。
[12:24] 所以你不用去幫短期的股價做太多的解釋,但對於整個盤面結構或是以我們這種以投資,然後以交易為業的人來講,當然這個也是我們還是會去尊重的一個指標啦。
[12:37] 那稍微講一下大家自己對盤面的一個看法。
[12:40] 那因為在過去一陣子呢,就如果自己所規劃的,我會認為說,首先我們在上集有提到說,現在去轉強的族群要稍微的小心一點。
[12:48] 那後來大家應該自己都看到了,不只禮拜五啦,其實前面幾天就已經開始了,那些轉強的族群呢,果然就是被大家視為一個短期的避風港。
[12:56] 發現沒有辦法之後,全部人一樣會殺出來。
[13:00] 那再來像我自己的規劃是,我認為啦,市場的資金一定會去往那個聖盔谷裡面去退嘛,就是退到大家這個充滿魔愛的台積電裡面,覺得這個東西最安全最穩,也是相對便宜的東西。
[13:10] 那確實就是在過去的一陣子呢,雖然自己手中的中小蠻多都有顯著的回檔,那可是當你一直把中小錢撤出來,然後去往台積電堆的時候,台積電甚至前面還是先漲了幾天的,所以它是有效的去平滑化,就是在前面的一些那種中小的下跌,或者說AI的高beta股的下跌。
[13:27] 那只是沒有想到在禮拜五的時候,算是我自己也遭受重擊啊,因為我的持股已經差不多一半以上都是台積電,就想說就爬進去啊,不知道買什麼先買台積,然後就台積電直接給你炸個6%。
[13:36] 所以算是打到我自己的標準啦,我就設定說我的這個鏡值呢,只要從高點回檔差不多15%以上之後呢,那我就要轉成是一個防守的模式。
[13:46] 那其實搭配下大盤的形態,剛好是跌破季線。
[13:49] 所以在這邊稍微的去調整自己的心態,就是比較不以進攻作為本質的話,我覺得是還蠻OK的。
[13:56] 雖然理論上,就是以這種高速去破季線的角度來說,然後特別季線的斜率還是正的。
[14:02] 我們應該是後面可以期待會有不錯的一個人道走廊開出來啦,那只是這個人道走廊開出來之後呢,因為我現在已經就是轉為防守的一個姿態。
[14:10] 搭配可能我8月要出國了,所以那個想法是有有貫通的。
[14:14] 那所以會比較偏向是,就是不會很積極的去進攻。
[14:18] 那過往積極的進攻就是我們會去識別,現在盤面上有什麼新的族群,就說像在最後面跟大家分享的時候,是我覺得這個功率然後跟封測可能是市場後面會注意的。
[14:29] 那像功率最近殺超級深嘛,那封測的話沒有殺這麼深,所以理論上封測稍微的轉強,我們就會把錢塞進去。
[14:37] 但因為現在我的想法就是媽老子也怕了,所以封測這邊呢,我就不會很積極的去打,就是甚至會有點像是說那種買黑,而不是去買紅的一個狀態。
[14:46] 這個跟自己的做法,平常來說是有點相反的。
[14:49] 那只是因為現在在市場上,我覺得形態還好的標的是已經越來越少,所以形態好就是你最保守啦,你一定是要在季線上面的。
[14:59] 那再來就是可能最好你要在月線上面,但是因為月線上的標的真的是相對少。
[15:04] 那我們又擔心說那種,就是現在還走得很強的,因為它只是暫時的避風港,會不會後面大家錢又跑出來?
[15:10] 所以你看嘛,因為就是像上集的節目末端講了,我覺得現在變得太複雜,所以你越積極,你越動能,你就是有機會被修理。
[15:17] 那搭配說,因為自己已經達成設定的條件了,就是回檔超過十幾%以上,那這邊開始呢,就是要進入防守。
[15:24] 所以後面我的做法應該會偏向,就比較不會去選個股啦,可能會用台子期或是甚至是像0050就作為自己的工具。
[15:32] 那當我要去選擇超底或者去加碼的時候,先加指數。
[15:37] 那好懷念的時間點,因為因為像過去我們有幾次是這樣子搞嘛,反正基本上開始出現一些那種崩殺,又我沒有辦法去識別族群的時候,我也是會把資金先停進去指數啊。
[15:48] 那我我覺得我在後面也會這樣子去做。
[15:50] 那有些人會選擇說他就是把它變成是現金,身邊越來越多人都跑去放假,都不想玩了,可是因為我自己是相信市場長期向上的信奉者。
[15:58] 所以對我來講,停現金是最傻的。
[16:01] 就是即便每次下跌,就一定有人會跟你講說現金為王啦,現金為王,我從他媽一萬點聽到四萬多點啦,你拿越多現金的,你真的就是越賠。
[16:09] 那可能在短期看起來很聰明啊,可是你如果沒有在對的時間點切回去股票的部位的話,那其實後面輸最大的是你。
[16:15] 你可能少人家一點點drdown,可是問題是上去的時候上漲你全部都沒有。
[16:20] 所以為了避免這樣的情形呢,就是你還是要股票的部位,那我就會選擇可能就是往這個台子期,然後或者說0050的放上去走。
[16:28] 這樣講就是去持有整個大盤。
[16:30] 那持有整個大盤的好處是什麼?你知道大盤的整個的結構,佔比非常高就是台積電嘛,然後再來就是不管大盤裡面的誰後面是率先的反彈出頭,去領導這個大盤的指數回穩的話,那你都是會吃到這一段。
[16:43] 可是這邊去做選股,我就覺得,嗯,應該是變得會很困難。
[16:47] 那即便其實在理性上,我們看一下家回檔很深的這個族群,不管是記憶體啊,或是被動元件,然後或是光通訊或什麼的,你要說他們在產業面有什麼超級大的問題,都沒有。
[16:58] 那甚至前面我們都會出來協助大家批,那你要知道我們這一台呢,是比較不會去看漲跌講故事的啦。
[17:04] 就是我們還是會聚焦在產業的基本面為主。
[17:07] 那有些東西在回檔的時候會超奇深,就是說像那種美股的幾隻標的,我覺得今年比較經典就是像Credo跟labs,那掉下去的時候就是人人都在喊打,都在罵嘛。
[17:17] 但你看到後面噴起來都超兇的,但其實這段時間內,它的公司是沒有什麼太大的差距。
[17:23] 差距只是說市場的一個論述,從前面講說氣筒轉光,那後來發現說,啊,光衝太快了,那桶也不錯。
[17:30] 那最終甚至是發現說,其實這幾隻標的它也不是很純的桶啊,它本身也是有光的成分在啊。
[17:36] 那一樣的道理啊,就是你現在在市場上一定會開始看到各式各樣的壞消息。
[17:39] 像我最近就看到說有人在丟那種成熟製程的壞消息,說什麼,TSM要搶它的生意啊。
[17:45] 然後再來又看到像是記憶體的壞消息,或甚至是那種AI整體的壞消息,現在蠻多人在傳那個Kimi嘛,就是中國的模型。
[17:53] 那其實Kimi K3呢,我看起來啦,它跟那時候大家在講deepseek的道理是一樣的,就是認為說有一個更高效率,那可能是開源的解放或什麼,中國的這種便宜的解放丟出來。
[18:07] 那它就會對市場造成很大的衝擊,就不需要再去做那種各式各樣的投入。
[18:11] 我覺得這是一個非常致命的錯誤啦,就跟那時候Deepseek事件一樣。
[18:14] 我認為又是在一次的市場錯判,那只是這個市場的錯判會導致它回檔到什麼程度,我不知道,但是有朝一日大家回頭看,應該不用太久,應該就會發現說當時的一堆人真的是在瞎說啦。
[18:27] 特別是其實Kimi K3呢,它本身的參數是很高的,它是2.8兆,所以它還是會需要那種很高規格的AI伺服器,它消耗的量還是會非常大。
[18:39] 所以沒有道理說有一個這個有效率的東西出來,然後就導致說大家就不要去用這個東西。
[18:44] 那包含說像是記憶體的採用說,這個KV cache用少一點,沒有,其實這個就是Jevons Paradox嘛。
[18:50] 已經講很多次了,但是每次發生大家都會被恐慌給領導,然後就忘記,就算東西變得便宜,就算東西的單一一次的用量變少。
[19:00] 它只會代表的是這個東西呢,因為本身它是更多人可以去做使用的,採用的人會更多,或者說因為發現效率變好就願意去投入更多的資金做。
[19:09] 所以實際上的消耗量會是更大的。
[19:11] 就像是從本來的chat模式,然後變成是這個現在AI我們都知道它是走一大堆的reasoning,然後跟mission導向的,它會去收集一大堆的任務,agentic AI去跑。
[19:24] 那像這個它其實本身消耗的token是越來越多,所以我不會覺得這個Kimi K3相關的討論,或者是最近市場上開始丟出來的這些各式各樣的鬼故事。
[19:35] 是有辦法去解釋說這個盤面為什麼會這樣子回,就剛前面很多人試著去用美伊戰爭來解釋這個回檔,但股價,不是股價,就油價就沒有再往上去大爆衝嘛,所以就一定不是那個。
[19:45] 所以我們會用類似的東西去做一些刪去法。
[19:49] 那老實講前面市場在跌的時候呢,我自己心中的想法是,可能就是比較偏向是這個資金導向的一個大屠殺。
[19:56] 但同時呢,可能有一些我們不知道的事情,我們還是會去追踪市場的一些走勢,像去年的3月,那時候說趁到一個人道走廊,我就要離場。
[20:05] 然後就後面真的就是有事情嘛。
[20:07] 那這一波呢,其實比較有趣的一個狀態是,如果你去看一下標普,它還在高點附近,你看台指擴掉禮拜五,它其實本身也都還在高點,可是一大堆中小已經跌到爆掉了。
[20:17] 那在美國這邊也是類似的一個情形,你去看一下那個XOXO裡面的一些成分股,其實都摔的蠻重了。
[20:23] 過去很強的一些什麼CPU或者 ASIC相關類股其實都跌蠻重。
[20:27] 所以它有點類似是一個分化已經走出來了,那只是說在美股這個市場有趣的地方是,它的組成性質很廣的,所以當我們今天注意到像是這些半導體相關的都跌下去,但立刻的像美國最近很明顯就巨頭跟軟體又再一次的轉強嘛。
[20:42] 那當這些東西轉強,它其實就是可以把指數撐在一個相對高的位置。
[20:46] 那台灣雖然全部都是跟電零組AI高度相關的東西,基本上不是的是相對很少數的東西。
[20:52] 那只是呢,只要台積電夠強的話,其實指數都還是會維持在一個相對高的地方。
[20:56] 所以其實在禮拜五之前,你看指數回檔大概就是五六%左右而已。
[21:00] 但是蠻多人的中小配置呢,我相都是回檔大概兩成多以上。
[21:04] 那這時候呢,如果指數在給你一個final blow再掉下去的話,那打擊覺得蠻大。
[21:08] 所以像我自己就是真的在禮拜五的時候就感受到痛了,所以就立刻就切換進去一個防守模式。
[21:14] 所以後面對我來講,就是開的各種人道走廊呢,我是不會想要去找標的追進去,然後去拼擊效。
[21:20] 我現在的一個努力方向,那不敢講說是接下來啦,因為搞不好就是可能幾個月,希望它越早改出這樣的一個窘境越好。
[21:28] 那會比較偏向是盡可能去守成,自己在上半年打出來的一些成果,因為今年上半年大家都有賺非常多的錢。
[21:34] 那你看得出來,因為像現在這樣子殺,融資都沒有掉多少,為什麼?因為大家賺太多了。
[21:38] 所以真的會受傷的是在高檔才加入的,在高檔,然後跟人家FOMO進來的人才會是受傷的那一群人。
[21:45] 那絕大多數人呢,其實現在都還是有賺錢,但是我相信大家也會怕說會不會我在接下來一些錯誤的操作,或者說我再繼續可能buy and hold的話,甚至加碼,那如果真的後面就是A下去,然後變成是一座山的話,那會不會整個績效不見?
[21:57] 我覺得這大家都會害怕的,包含像我自己也會。
[22:01] 那所以在後面為什麼會去切一個防守模式?那具體是怎麼樣做呢?就是說,我已經不會再繼續追一些高beta。
[22:07] 其實從上集就有講說,我應該會往一些業績股的方向去。
[22:10] 那業績股至少套,我知道我自己再套什麼東西嘛,可是高beta,幹,我跟你講高beta的東西有時候下來,那個PE在修的時候,你會不知道,原來可以這樣子跌,會跌到就是你媽都不認得那一種。
[22:20] 所以我也比較害怕就是可能估值還會有繼續的一些修正啊。
[22:24] 那除非今天等到大盤再試回穩,要去攻新高,我才會再一次的往這些可能本夢比或是高估值的方向去腿。
[22:31] 不然就是去業績股,然後加可能搭配指數或是台積電,這可能是後面自己會想要做的一些做法。
[22:37] 所以即便我們可能前面也是提到說,我們在產業上是沒有看到太多顯著的變化。
[22:43] 你說記憶體現在一堆那種摔成小狗,那韓國的或是美國的美光也摔爆嘛。
[22:49] 你說真的是因為什麼記憶體沒有人要嗎?不是,就是產業的前景是非常明顯的,也是很匱乏。
[22:54] 那有些我用forP去看,但我覺得forP反而不是我自己在這這種循環股,我還把它視為循環股,只是這個循環特別大,會用的一個指標。
[23:02] 但總之就是,如果從用產業的角度來看,就都還是很不錯的一個狀態。
[23:06] 那只是殺便宜了,往好處講,殺便宜了,搞不好後面又有機會啦,這是一個想法。
[23:12] 那只是我比較不喜歡這樣子想,特別是今天已經看到大盤已經是去破季線了。
[23:16] 理論上沒有立刻的站回去,並且要立刻進攻的。
[23:19] 它如果只是站回去,然後很盤,你都知道那個整個季線會拉平啦,那拉平之後,再下去可能就是蠻大的,這個是我會怕的東西。
[23:27] 所以我們已經開始會去規劃一些,如果這是比較事與願違的劇本。
[23:32] 這個劇本可能是,像2022的初期,我也是有這樣子的一個感受,就是你思後回頭看,2022的烏俄戰爭所造成的影響,它並不是一個長遠的影響,可是它卻對整個市場造成了一個長遠,因為修正到一年,那個痛苦指數算是很高的。
[23:46] 那所以還是要去提前規劃這件事情啦,那特別是我覺得可以去引用一下CC在法說會裡面所提到的。
[23:53] 他就說,反正就會好到29甚至30嘛,這個是沒有問題的,只是在過程之中會不會有一些correction,這個其實是沒有人可以跟你去做保證的啦。
[24:02] 所以重點是如何的在後面好好的navigate,然後好好的活下來,這可能是比較重要的。
[24:07] 但有些人會選擇去把東西砍掉,其實我覺得破季線去把東西砍掉,它是一個選項沒錯。
[24:12] 那只是我我自己,如果前面所說,我是比較相信指數,相信大盤,我是不相信現金的人,我是相信現金是會貶值的,所以可以給我借越多錢,我一定是把錢借爆。
[24:19] 等於去空現金的意思啦,然後我要去做多各種指數或是這些市場的股票的標的等等的。
[24:27] 那只是因為我們不知道這些修正可能會持續到什麼時候。
[24:31] 所以後面我們還是會持續的跟大家update一些產業的狀態。
[24:35] 包含說現在大家回頭看,可能會想說,哇靠,為什麼台積電沒有辦法把這個市場救起來,或者是為什麼這麼多漲價性,你看什麼ADI,或者被動元件,他們7月很多那種各式各樣的漲價,甚至是載板,波先布,我們都有看到漲價性跑出來。
[24:49] 為什麼這些漲價性沒有辦法把市場救上去?合理的解釋就是現在市場的氛圍已經開始去改變了。
[24:54] 那改變的一個契機呢,其實就是韓國人在戳泡泡,韓國大量的槓桿ETF,那大量的槓桿資金他們先爆炸,爆炸之後,我覺得啊,相對應的是有影響到全球的一些市場的情緒啦。
[25:05] 所以大家都進行一個修估值,所以你可以把它想像成是,我隨便舉一個例子,可能在最高點的地方,你算起來的一個平均的for P ratio,假設25倍好了,後面我就不會期待說它會回到25倍。
[25:18] 我可能會期待說,它可以在可能是18到20倍這樣子,那最高就到這裡。
[25:24] 也就是說,它可能會掉到12,13倍,但是它會回到18到20,可是它回到25就那超級瘋狂了。
[25:30] 它需要一段時間的休養,目前會這樣子看。
[25:32] 那這就是為什麼去往一些業績股靠可能會覺得相對安全的一個主音。
[25:36] 即便這些業績股它不一定在股價的表現上是好的。
[25:40] 那過去我們的一些做法,可能過去半年,我們比較偏向是我們去買一些題材,買一些夢,買一些未來預期的東西。
[25:47] 那讓它可以去把那個P ratio修上去,你去達到這個類似,你把它稱為是戴維斯雙級嘛,兩個東西都會上調。
[25:53] 但是我現在會覺得說,在那個ratio的上調可能會變得沒有這麼明顯,甚至會一直持續的去做下調,或者說它就停在原地不太會動。
[26:04] 那這時候呢,可能就是要靠earnings上修去帶動這些東西。
[26:07] 所以過往的一些相對穩健,大家不要的東西,有可能就會被拿出來作為是新一波市場的一個主張。
[26:14] 這個我也還不確定,所以在不確定的狀況之下,先去指數,然後接著找到方向之後再去做一些調整。
[26:20] 那希望大家在接下來的幾個交易日呢,都可以好好的去想好,到底要怎麼樣去守住上半年的戰果啦。
[26:28] 那如果你今天是在可能五六月才加入市場的人,那沒有辦法,就是一定會遭受打擊。
[26:32] 這個可能過去節目也講過很多次,每次的修正就是可能過去幾個月剛加入的,一定是會先受到最大的傷害。
[26:40] 那沒有辦法,就是類似說進去市場裡面繳學費啦,你不能夠確定你每次都買在低點嘛。
