[0分0秒] 歡迎收聽股癌維生夢公,本集節目由NordVPN贊助。
[5分54秒] 那像上次是朋友看到周杰倫在喝酒,那當然他也是我的聽眾,所以他知道說我最近有在喝酒嘛,那他就是看到這個周杰倫的一排看起來像是夢幻逸品的一個東西,他想說我居然來跟著周杰倫一起喝好了。
[6分7秒] 那一查就發現說靠北,周杰倫這一排酒好像七瓶吧,加起來怎麼樣一兩千萬。
[6分12秒] 那那時候我一看我就知道說,不對啊,這不可能是1兩千萬啊,裡面有那個什麼嗎,那有一個,然後再來可能有一些怎麼講,就是稍微有一點年份的波爾多之類的,但這些東西加起來理論上它不會是那個價格。
[6分27秒] 就我自己一看我大概知道說OK,他這一批大概是100多萬。
[6分31秒] 那當然周董他很常在喝非常貴的酒啦,這個如果有看他線動就會知道,但這一批呢其實大概就是100多萬,沒有到1千萬。
[6分37秒] 那可是他的AI告訴他說這是一個可能加起來1千萬的東西,他就把AI講的東西貼出來,然後就發現說,他可能在酒標就看錯了,然後再來他去撈價格,他也是完全撈錯,像你這個來講呢,他其實是不會到可能300萬到600萬啦,除非你是買那種不知道超級古老的經典款年份之類的,像之前的1945是拍到一個超級高的價格。
[6分59秒] 那不然如果你是買可能1999之後的,其實那個價格都已經某種程度上算是說有一個不能夠說公定價,因為它一定是浮動的,但是呢,它會有蠻多的網站或者是一些拍賣的頁面,你可以找到它的價格,大概就是落在基本上可以抓60到100萬之間,所以它絕對不是什麼300到600萬。
[7分15秒] 那總之就是呢,當然這是一個小事情,因為大家只是想去了解說周杰倫喝什麼,這是無傷大雅的,可是你就想,如果你今天是用這個模型去看你公司的合約,那或者是去處理一些錢來錢去的東西,那它就真的會出問題,代表它不夠準確嘛。
[7分29秒] 那這時候我跟你講說,我的模型是付比較多錢的,我一個月要付到6000塊,然後再外加它token燒完就會自動儲值,所以就是為什麼它這次幫我聽寫會花很多錢,因為它就他媽自動儲值,所以後來才知道說不能夠把那個自動儲值打開。
[7分42秒] 然後我就說讓我的模型去跑看看,那我的模型也花超多時間,就是那是我可能在近期也不能夠說第一次,但是就是蠻蠻少次的覺得說,AI距離取代人類的工作呢,還有一段路啦,而且我們人類說會進步的,是有新的東西,因為我一眼就知道這些東西是什麼,可是讓AI去做處理的話,因為它沒有那個domain knowledge,其實你還是要去養它,要去餵它,你餵好之後可能會好很多,但總之呢,因為它可能花的心力會是更多啦,那成本也是更高,所以其實我人一眼就看出來的東西讓AI去跑的話,那它就可能會花掉很多錢,然後再來就是跑出來的數據是不準確的。
[8分16秒] 那用我的比較高級的模型去跑呢,它至少有把每隻酒是什麼都有抓到,年份都有抓到,但是它在跑價格的時候呢,還是會就是花太多的token,太多的時間,來回要去做確認。
[8分29秒] 那這個確認其實是沒有必要的,就是說它會去查一下今天在的價格是多少,那可能在蘇富比拍多少,其實我覺得這樣子就可以去case close,你就大概抓嘛,大概多少錢,平均一下之類的。
[8分41秒] 但它又會突然間跑去一些什麼One auction的網站,然後就看到說像是什麼ideal wine,那它可能一瓶曾經賣到2、30萬的,就是那種有時候會會有些離群紙啊,可能是因為酒標的狀況不好啊,或者是保存狀況不好,它那個酒頁有滲漏啊之類的,那價格會稍微低一點。
[8分56秒] 但它因為它查到有一個離群紙的表現,它就重新把所有資料再跑一次說啊是不是我查錯,它就會全部都從頭來過,那當然如果說我們人去看,我就知道說那個就是離群紙,其實你就可以把它掉就好了,可是它不懂。
[9分8秒] 那這個大概只是一個領域啦,我相信你把它訓好之後它一定還是可以成為紅酒的專家,那只是如果說今天有多個領域要去做接觸的話,其實大家還是要自己稍微小心一下,就是一個通用型的AI模型呢,你要直接拿到工作上去用,是有機會會雷你的,那它產生的問題可能會非常大,因為像最近有一些社會事件的產生嘛,那可能就是在規定範圍,大家沒有對好之類的,那導致一個人命的喪失,這個看了是蠻難過的事情,那我就想說未來會不會越來越多類似的狀況產生,大家覺得說AI可以啊,AI看過就好,AI我叫你去對一下什麼各地的法規,建築法規殺小全部跑完之後,好啦,這樣就OK了,然後就指上,然後就可能因為這樣會產生巨大的危險。
[9分49秒] 所以慢慢的懂為什麼會越來越多的不管是機構或者是一些大型的法人,然後再來是這些科技巨頭的老闆都有提出這樣子的一個警示,就是AI呢,它是要govern,你就是要去 harness它,你是要去有所控制的,你不能夠說什麼,你就是放任一個我們就可以把它稱為是一個類智慧體,然後它就隨便在那邊鑽,然後就完全相信它所有的決策跟判斷,因為你從一些小的東西上面就知道它是有機會犯蠻大的錯。
[10分15秒] 那當然有些錯是無傷大雅的,但有些錯呢是會造成巨大的傷害的,這個大家自己要稍微小心一下,這個最近的一些小小新的跟大家分享一下。
[10分24秒] 好那近期市場開始出現殺人誅心盤,這個對蠻多人來講應該都蠻痛苦的。
[10分30秒] 但如果說冷靜看一下大盤指數呢,就是回不到10%,所以如果大盤回不到10%的話,你可以很粗淺的去推一下啦,像你自己如果習慣性是打兩倍槓桿的,那你就是可能要回20%以內之類的,那如果你是打更大的,你就可以以此類推啦,但一般來講我們不會希望自己在每一次的回檔不小心回太多,因為你要站回去就會變成是非常的困難。
[10分50秒] 那以這次來講呢,有蠻多的熱門股都開始出現休息了,就是有相當程度的一個回檔,有些可能回到2、30%以上。
[10分58秒] 那它上去的時候可能也是好幾倍在上去啦,所以我覺得還算正常,就有點類似說韓國的指數,它其實是噴到爛掉,所以它這樣子跌,其實它根本連半山腰都還沒有跌到,看起來很多,但因為前面真的噴太多了。
[11分10秒] 所以在我看來就是有一點像是說夜力引爆,大家要繳個稅,過去過我太爽就是要還,每次只要過我太爽後面就是要還。
[11分17秒] 那重點是後面要怎麼樣持續的去面對,那當然現在還是會有很多網友會想要去討論說到底是為什麼理由下來,是因為可能什麼通膨的危機啊,要升息,還是說是美中貿易戰,這個我們前面都已經討論到爛掉,也不想去討論,也覺得它不是重點,我自己覺得核心的重點是什麼,就是韓國的去槓桿,它應該是影響到全世界。
[11分36秒] 後來我覺得這樣,我也不會想問韓國人到底會不會做股票,因為韓國人這個有點像是說它只能夠像是怎麼講,就是刀組上的魚肉吧,它就只能夠給人家殺啦,講白一點就是這樣子。
[11分47秒] 那那什麼意思呢,就是說像那時候去年3月,為什麼會講說美國人他媽到底會不會做股票,那時候真的會想問,就是因為他們瘋狂的在deverage,但是他deverage算是那種有序的,就是說每天不停的往下掉,你就會想說,他媽的你昨天不賣,你今天賣,每天都在賣,那幹嘛小,你不會前面就趕快賣一賣,可是你可以理解,就是這個也是我們老實講,就是身邊在做一些交易的人,蠻多會這樣子做,就一個東西理論上我是越漲越買啦,那越跌呢,我就會慢慢減碼,一方面可能是,我就假設說我是一個humble guy,我不知道這個市場呢有很多這個未知的事情會不會對我造成一些影響。
[12分21秒] 所以當今天價格不是我想要的一個方向,我可能就慢慢減嘛,那另外一個方面就是說,其實一個波段來講,也賺夠多錢了,大家都不要玩是不是,沒關係,我就配合殺掉,這個也是我們家身邊或像我自己很常跟大家分享,一個標的,你再那邊弄弄半天,你已經是上面,不知道,就已經可能拿了60天90天,你是其中一個大主力,你都沒有在賣,然後一堆白痴在那邊賣,那沒關係,大家都不要玩,我們一起把它炸掉。
[12分42秒] 那這個說會發生的,那就是說那時候在美國市場看起來比較像是這樣,它是一個有序的,然後大家慢慢的去降槓,那當時我的說法是說,我等到有一個相當的人道走廊,我要去做解嘛,我自己是不會去把它不會賣光的那種人,我就去做一些解碼,然後後來就遇到這個四月的關稅嘛,所以還好還是有錢可以加碼,不然那個時候應該會覺得非常的難熬。
[13分2秒] 那這一次的話,我覺得跟可能去年三四月那個狀況有蠻大的一個差距,那時候其實是整個大盤都已經破線在往下走。
[13分10秒] 那這一波呢,你可以注意到大盤它其實基本上是差不多停留在原本的地方,當然它現在往季線去靠,我覺得不是一個太好的事情。
[13分18秒] 但它距離高點其實就是10%以內而已,所以理論上你不應該賠這個輸大盤太多了,就是說大盤假設回8%,我們隨便舉例,那你平常是開可能兩倍到2.5倍槓桿的,你就要回16%以內啦,一般你可以這樣子算啦。
[13分32秒] 那你就會想說,反正你在可能多頭的時候,你也是跑贏大盤嘛,那空頭的時候你也會跌贏大盤,可是呢,就盡量跌越少越好,因為跌太多呢,會救不回來。
[13分41秒] 那韓國人跟美國人的差距是,美國人那時候是非常有序的在deverage,包括像我們自己也是趁到一個人道走廊就去deverage嘛,那可是韓國人它其實真的有點像是說代宰的羔羊,就是他們是沒有辦法做任何的事情的,因為他們在槓桿真的堆疊的太高了,所以它有點像是說是被迫平倉出場,然後大家人踩人,你可以這樣子去做一個想像。
[14分2秒] 那再來就是可能有些是新加入的,他也開了大量的槓桿,那他一下稱不住就再助長了這個繼續往下掉的一個狀態,那誰最爽就是可能各地的量化資金都賺到翻掉吧,這種那種一堆臭散戶在那邊亂殺或是亂追,像台灣每次發ETF,一堆人看到溢價狂追,那個最爽的是誰,就是那些在做套力交易的,他們真的爽到翻掉,那個績效都會在那時候拉起來。
[14分22秒] 那所以身邊就有朋友分享說搞不好,這個Q要賺到爛掉,光是賺這韓國韭菜的錢就媽的賺到翻掉。
[14分29秒] 那我是覺得說韓國市場他們敢去開很大的槓桿,本身是非常恐怖的,為什麼?因為他們其實首先他們大盤指數的這個集中度是很高的啦,這個記憶體產業就是佔比的差不多是一半,那他們大盤指數平常的波動呢,就是你看到他媽整天在壟斷你,現在沒有什麼特殊的國際事件,他可以整天壟斷,所以他大盤指數你甚至就可以直接想像成說它的那個波動波動不要說什麼波動率什麼,就是說它的那個波動的程度啦,大概想像一下,它就是可能各國市場本身的兩到三倍,它本身波動就是人家兩到三倍。
[14分57秒] 那韓國人在這之上呢,再去開兩到三倍的一個槓桿,而且它開兩到三倍的槓桿是它可能是使用一些ETF嘛,或是一些融資的管道,它搞不好又再拿,因為你還要本金嘛,那你本金怎麼來?搞不好本金也是去信貸或是去借來的,所以其實你真的要去算韓國人的槓桿的話,我就跟我朋友細層啊,搞不好保底都是九倍十倍以上,因為它的指數本身就是類槓桿啦,它不是真的槓桿,但是大家想像一下就是它的波動本來就比人家大很多嘛。
[15分24秒] 那這時候在乘上它使用的兩到三倍槓桿,就是六到九倍,再乘上它借的錢,說不定它的本金其實超小,它就借一大筆錢,然後來去撬動這些槓桿,所以它可能是開到十幾倍以上,所以你完全可以去理解,為什麼他們會整天下去的時候壟斷,上去的時候也壟斷,就是非常的瘋狂。
[15分40秒] 那甚至會產生很多那種多空雙巴的一個現象,然後最後就發現說其實韓國人某個程度上像是不知道金融恐怖分子。
[15分48秒] 其實你現在仔細回想,我們過去真的是被韓國人搞到蠻多次,只是可能過去你沒有想到要特別拉出來講,除了有一次那個事件。
[15分55秒] 那事件的話,反正就是幾年前的,現聽眾可能不知道,沒有體驗過,可是當時有體驗過的美股投資人應該要都知道,反正因為有一個韓國的基金經理人,這個然後他開了超級巨大的槓桿在搞股票,然後接著呢,被被燒到爆掉,觸發了一個連鎖反應,導致呢可能很多地方也跟著deverage,所以這不是他媽韓國人第一次這樣搞,那時候就是搞到很多,包括像我們自己的部位也是有受到蠻大程度的一個回吐。
[16分19秒] 那當然回頭看都沒事情啦,只說當下,又是你,然後再來可能之前什麼LunaB也是韓國人嘛,那還有之前在炒那什麼Tesla或是什麼的時候,每次那種最高檔,那後來光是回檔那邊,其實都是韓國人把槓桿開到爆掉,把市場的所有的流動性他媽抽到爆掉之後,然後接著出事情,那他們因為就是槓桿開爆了,大家手上都沒有錢啊,知道怎麼樣互相踩踏,所以真的是每次韓國人群聚的地方,還有加密貨幣,千萬不要忘記,這些東西真的都是他媽的韓國人進去惡搞之後,然後就直接把大家搞到爆炸。
[16分48秒] 那這是在市場裡面,其實我覺得一開始也不會想要去牽拖,因為像我們是不太喜歡去牽拖說什麼某一個盤面的狀況是誰造成的,因為那一定有很多綜合因素在裡面。
[16分58秒] 那甚至有時候會反求諸己啊,就是這個盤面如果真的這麼好的話,它應該不會因為一些事件就影響到它,會這樣去想它。
[17分4秒] 但如果你發現說已經連續數日,就是每次只要韓國指數他媽開始落賽,然後大家就跟著落賽的話,那基本上就可以去做相當程度的歸因啊,就說OK,那現在可能就是全世界都跟著去去槓桿,不一定說什麼韓國人有來台灣槓桿之類的,但是其實國際金融裡面發現說它是盤根錯節啊,其實大家都還是互相影響,包括說像外資去提款,注意到說亞幣偏弱,這個都會影響,但他們的一個劇烈降槓桿的作為,我覺得影響到就是亞洲股市的其他人,大家就想說好就跟著這樣槓桿。
[17分34秒] 那只是我覺得台灣算是某個程度上,有提早去拆彈,其實做有在做交易的朋友應該都會發現,就是一個最明顯的,首先你去下單的時候,很多股票莫名其妙你會被封控,它直接不讓你買多,就是一些比較小型的股票,像我朋友在那邊拉拉拉,靠北,然後突然間怎麼沒有辦法下單了,然後打電話去封控,要解封控的話要什麼往上簽簽層。
[17分55秒] 幹他媽氣的要死,因為他已經是規劃要怎麼做了,那結果被人家鎖喉,然後再來就是像我自己有遇到的,就是你那個融資的部位,現在有一些券商是這樣,他單檔可能就是鎖你一個上限,就幾千萬這樣,可能1500或是3000萬,那你要再往上點的時候,他就不給你了,他就直接把你整個卡死,你如果要的話,又要再往上繼續寫千層,那後來還是有聽到一些營業員朋友是有講,他說他們其實內部也是有在討論說是不是可能要請可能有關單位或說官方這邊,公司這裡呢,可以去放一個白名單。
[18分24秒] 他其實跟那個詐騙有點像,雖然是完全不一樣的東西,但我說背後邏輯很像,就是因為少部分的人他們在違約交割,他們在報場,就少部分的人他們被騙了,那當然我們不知道去苛責這些人,但就是反正被騙的人蠻多時候你抓出來都是一直同一群人。
[18分42秒] 那就導致說這些券商或是銀行為了要保護你,他們就把一些風控的門檻往下放,那就會變所有人被卡住。
[18分49秒] 所以呢,現在其實在市場上在做交易,很多那種融資的部位,你是沒有辦法敲滿的,它會直接在風控這邊就把你擋掉。
[18分55秒] 那再來就是不限用途指壓,這個應該大家都已經體驗到,像我自己是三四月以後,我就沒有辦法去使用我的額度,不是調額度哦,是我的額度就是擺在那邊,就是說2億的額度,給你下了6千萬,不給你下了,以前是無限啦,就是你就可以下到2億啦,那現在就是會去做限制,那甚至呢,你要再新借的,他就不給你了,所以你舊的反而不敢還他,因為你怕還他之後,他就給別人,或者是他就把它再往下調,就是這個下融資的環境就長這樣。
[19分22秒] 所以台灣的融資其實相較於韓國人還好啦,那當然知道我我去寫這個文章的時候,我就想說,台灣一堆人在弄正義,反正就是大家都都很喜歡,每個人都最懂,每個人都最了解,你講一個東西,他就一直講說什麼,什麼,他媽扯一堆東西進來。
[19分37秒] 那當然這個我們一定都會去綜合評估啦,可是其實加起來那個cap是沒有到非常巨大,就是你跟韓國的槓桿指數去比的話,其實我們的槓桿程度沒有很大啦,但是在過去呢,還是相當程度的去受到影響,就是整個市場都在去進行降槓桿。
[19分52秒] 那後面該怎麼樣去做處理呢,我還是會目前暫時先把它視為說,這是一個資金面的一個影響,在盤面上,包括說融資堆疊很高的地方,或者說熱門度非常高的地方,你你上或是說你上什麼討論區,每個人都在講的族群,就算它很好,那可是短期內,像今天算是有反彈嘛,你注意到那些談不太起來的東西,這個蠻高機率,上面人太多,那上面人太多,其實按照我們過往的經驗,就是怎麼講,一個股票最終還是會回歸基本面,只是它可能會花比較長的一段時間要去超渡掉這些人,因為去參與的人蠻多他使用了這個大量的槓桿,那當然我們自己本身也都是會去使用融資跟槓桿的人,我只能夠說那個某個程度上是一種那種信仰的測試吧,某種那種faith。
[20分38秒] 因為蠻多人他去買標的呢,其實它是去道聽圖說,他當然道聽圖說,你道聽圖說到台積電你還是可以賺到蠻多錢嘛,所以道聽圖說不一定是一個全然很壞的事情。
[20分48秒] 但如果你今天是道聽圖說去買的各式各樣的,甚至是比較偏那種中小型的標的,當它今天波動放大的時候,當它今天事與願為的時候,過去的六個月大家也都知道,股票買了怎麼樣,只會上漲,每次拉回無腦買,只會上漲。
[21分3秒] 那可是最近應該大家都有感的感覺到這個盤面開始有點不一樣,那當大家開始去面臨這樣子考驗,知道說,你去買拉回,它可能還在繼續拉回,它可能拉回的幅度是在過去的半年來之最,如果你拉好幾年,這都小事情啊,其實現在嚴格上來說根本就沒有回檔,你看大盤,它根本就沒有回檔,可是為什麼這麼多哀鴻遍野,就是因為可能過去一些熱門股擠了非常多的人,然後現在大家都想要跳車,因為沒有人是有faith,沒有人是有conviction。
[21分29秒] 我這邊在上面看到一個有趣的話啦,他說你要怎麼樣知道說你對這個股票是有信念的,是有faith,是有conviction的,在下跌的時候你是開心的,你覺得你可以買更多,就是有faith跟conviction,可是覺他多數其實就就坦白講,就連我們自己,在交易的時候都會放一些動能的成分啊,大家都不要的東西,我們就會跟著就重上如流就砍它,我要等你形態轉好再來買。
[21分50秒] 你就想,如果大家都是報持類似的形態的話,那那些槓桿堆疊非常高的地方,那或者說過去非常熱門的地方,可能在修正就會比較慘一點。
[21分57秒] 那不然其實按照我們現在的角度去看,大家都知道說台積電隨後就要出來講話了嘛,其實他講的東西不會差啦,前面有些人把它預期到很高的地方,包括說可能砍到70去,那時候美光還很高一樣。
[22分10秒] 那個應該不會在短期內發生,但是終究有沒有可能往那個方向去啊,其實是非常有機會的,展望也是好的,什麼的。
[22分16秒] 然後再來就是其實市場上的這些熱門族群,稍微的盤點一下嘛,過去就是被動元件、功率,然後到這一波其實轉強的是什麼?矽晶圓跟載板。
[22分25秒] 那或者說設備,其實蠻多已經在盤整的末端,光通的話,如果說沒有破底的話,它開始進入一些橫盤,那最近呢,常務在今天表態,所以這些東西我們目前去乍看,都還是在產業的發展上是沒有什麼太大的問題啊,就是可能跟韓國人所觸發的一個那種全球降槓桿的怎麼講,就是有時候也不一定是韓國人直接影響到你的市場,是你看到韓國人這樣,你不免的就去思考一下說,媽的我槓也槓很大,我可能就就提早去降槓,所以有可能就是這樣的一些情形啦。
[22分55秒] 只是我們注意到在台灣這邊可能大家真的賺太多,像昨天算是一個那種蠻血性的大屠殺,有很多人都直接跑去綠燈的,那這幾天奇蹟日拉回來嘛,一般來說,在我自己體感啊,這個融資應該要減個兩三百億以上,結果只減100多。
[23分8秒] 那再往前一天,其實也是蠻兇的一個回檔,可是呢,基本上是沒有減多少融資的,這代表什麼?就是其實我們的營業員都沒有騙我們,像我就一直跟我營業員講說,你等到有人被斷頭的時候你跟我講,就是我要把那個額度卡起來,就是以前我都可以借滿的,現在你都不讓我借錢了。
[23分24秒] 那先強調,就是我的借滿其實算起來都還是一點多倍而已啦,只是說我在一些券商有去開那個額度,一般我都會把它用滿,那只是它現在都不給我用,因為被別人卡光了,我就說等到他們死光之後你跟我講,我要把那個額度卡起來,那資金其實每個回檔我回去問,都沒有,就是它都沒有放出來,我就代表說,真的是大家都賺太多錢的,只是什麼時候要賣,賣多賣少這樣子的一個差別而已。
[23分45秒] 那所以呢,在後面的觀察是這樣,其實這陣子我自己跟身邊的朋友在討論啊,因為像這波很明顯轉強就是錢跑到載板,然後跟矽晶圓這邊去啊,那只是矽晶圓就還是像節目跟大家分享的,它絕對是一個在後面你會注意到說可能報價會上去啊,狀況也都不錯的東西,但就是偏貴偏早,在我看還是這樣,然後庫存的狀況其實也都還偏高,但是我相信市場的資金,我們不知道說人家笨什麼的,因為市場去拉一定是有它的道理啊,可能就大家提早去反應,或者說它屬於是過去還沒有很明顯拉到的東西,所以大家衝進去拉這個,那載板的話我覺得無庸置疑啦,它其實就是從去年到現在都是一個非常匱乏,非常缺的一個狀態。
[24分23秒] 那最近有一些新的drama嘛,像勝紅這邊,他們可能在一些材料上面有出一些狀況,所以呢,有一些訂單跑進來台積電之類的,那他們表現的很好,這大家都知道,那大家往這邊去堆,但它其實嚴格上來說,它在市場裡面也不是一個特別便宜的一個選項,所以只能夠說可能這兩個地方的籌碼是相對純的,但有趣的是這種呢,因為剛好在過去的修正,我覺得太明顯了,就是猴子都知道說這些族群是最強的,所以其實有超多,至少我們身邊那種跟我自己不是太熟啊,但我知道那種槓超大的,全部都往這裡面轉,他們全部都轉去,因為這是市場剩下的強勢股啊。
[24分58秒] 那所以就是一樣會循環啦,就可能過去的強勢股,一堆人追的,然後再回檔的時候就特別兇,後面就是說那個已經是預約好,可能下一波就是有機會會換那邊去做修正,所以我自己也不太敢,就是看到這個盤面剩什麼強的就追,你說這可能跟過往我們跟大家分享一些太弱流強的邏輯相反,理論上太弱流強就是市場哪裡有強就繼續往哪裡去嘛,可是當今天,我我記得有在幾年前有舉過這個例子,跟那個糖豆人一樣,糖豆人有一個關卡,就是那個地板上很多那個板子,然後那個板子只要被人家踩第二次還第三次就會開始掉下去,那掉下去之後就就就掃板子,大家能夠活動的範圍就變少。
[25分32秒] 我覺得呢,可能你之前可以想像程式,我們剛到這個arena裡面,然後大家去踩這個板子,這個板子現在越踩越少,它它還在極限上的標的就越來越少,那再來,越線上的標的可能就所剩無幾,剩下就是少部分的一些族群。
[25分46秒] 所以所有資金推進去的話,當然你可以去賭說它會有一小波啦,只是在我們的角度是,我如果進去,然後接著我很快又要考慮說什麼時候要出場的,那我不如就不要進去了,就是這個行情已經變得對我們來講是太複雜的啦,所以這一波我就沒有選擇去追那一些比較強勢的東西,在過去是這樣,就是一波切一波嘛,像可能今年初的衛星啊,然後後來切什麼載板、光設備,然後再什麼被動、功率,那時候都是這樣切來切去嘛,那只是這波,我的想法是我暫時不會想要去把資金趕快的切到那邊去,我反而是現在可能把這個盤面視為是某種區間來做啦,就我自己會把它視為是某種區間來做。
